RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
139,0.05,57.5627,122.1685,0.105507,0.072394,0.074451,0.081641,0.087584,0.09077,0.089724,0.076895,0.105507,0.108816,0.079379,0.048762,0.041306,0.025842,11.3602,31.1794
139,0.1,106.2322,235.5021,0.209918,0.144292,0.145321,0.158642,0.170437,0.175439,0.170533,0.143364,0.209918,0.203732,0.100465,0.095574,0.074222,0.052533,21.0666,58.3757
139,0.2,193.9849,477.1669,0.469829,0.369526,0.358429,0.363321,0.366817,0.361937,0.341858,0.278796,0.469829,0.484134,0.208927,0.181702,0.122858,0.111448,38.5256,138.7198
139,0.25,239.8286,620.5899,0.64802,0.505991,0.483644,0.491794,0.497247,0.489651,0.461646,0.372456,0.64802,0.618977,0.263934,0.221203,0.138914,0.140615,47.6671,177.3567
139,0.3,276.6776,753.8152,0.937013,0.747458,0.676512,0.64823,0.626778,0.613509,0.577732,0.468433,0.937013,0.844366,0.311796,0.257391,0.156932,0.170521,55.0238,241.9378
139,0.4,365.6845,1226.7883,2.791092,2.739383,2.236877,1.834154,1.578318,1.439227,1.323066,1.140734,2.791092,2.087389,0.388419,0.327432,0.18664,0.23284,72.974,598.1037
139,0.35,304.3097,916.7368,1.405191,1.20436,1.021482,0.934018,0.881668,0.835195,0.779551,0.653451,1.405191,1.171915,0.35108,0.291635,0.17126,0.205779,60.6485,335.791
139,0.37,325.1264,1042.0784,1.856938,1.693146,1.41277,1.22012,1.12445,1.05295,0.979088,0.831968,1.856938,1.487796,0.364086,0.305583,0.176575,0.219245,64.8457,426.3013
410,0.05,25.7089,53.6332,0.045478,0.028894,0.029327,0.036186,0.041746,0.045106,0.045514,0.038944,0.045514,0.044378,0.047571,0.04006,0.024766,0.006426,5.0879,12.7157
410,0.1,50.9221,106.7001,0.090776,0.057764,0.058605,0.072291,0.083637,0.090509,0.091324,0.07825,0.091324,0.088559,0.094718,0.079931,0.049225,0.012849,10.0864,25.3748
