RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
334,0.03,191.996,486.8914,0.482052,0.374706,0.353826,0.347524,0.339757,0.326322,0.302334,0.246071,0.482052,0.477919,0.05866,0.070741,0.093698,0.058155,38.1542,136.9392
334,0.033,205.047,526.4219,0.53074,0.412744,0.389329,0.381153,0.372188,0.357033,0.330294,0.268084,0.53074,0.52064,0.064099,0.076146,0.099638,0.063974,40.7558,149.1801
334,0.06,288.9925,813.1225,1.052829,0.85401,0.758559,0.711556,0.675299,0.639065,0.592924,0.488401,1.052829,0.916821,0.101539,0.102976,0.135597,0.123192,57.5309,262.6985
334,0.08,344.0447,1143.0098,2.257725,2.166191,1.791566,1.475994,1.303594,1.190401,1.092013,0.936616,2.257725,1.745403,0.206444,0.128017,0.178795,0.167725,68.6932,500.1137
334,0.07,296.826,854.7289,1.177265,0.97928,0.853065,0.794349,0.751692,0.709978,0.658563,0.546148,1.177265,1.008852,0.107434,0.111934,0.13976,0.146041,59.1076,289.0683
334,0.075,295.9087,871.9963,1.253173,1.055727,0.906089,0.83959,0.794773,0.751984,0.698876,0.581588,1.253173,1.061368,0.117499,0.118199,0.140914,0.156962,58.9504,304.1158
334,0.077,298.5289,890.9033,1.325462,1.12719,0.958634,0.883703,0.835583,0.790513,0.734983,0.613337,1.325462,1.111378,0.12247,0.120087,0.141442,0.163726,59.4846,318.4453
334,0.079,333.2169,1081.4057,2.039199,1.905444,1.562189,1.318683,1.188686,1.097954,1.013272,0.865367,2.039199,1.589974,0.174767,0.121057,0.158352,0.168478,66.4902,455.5783
334,0.078,312.7336,977.9354,1.656353,1.464063,1.201346,1.059208,0.9802,0.919516,0.855159,0.723834,1.656353,1.31816,0.123835,0.120389,0.141861,0.167406,62.3729,377.695
334,0.085,346.6539,1162.375,2.364113,2.315167,1.958577,1.599709,1.382004,1.25369,1.148039,0.987384,2.364113,1.842035,0.208839,0.151861,0.19836,0.178472,69.2137,527.8018
334,0.09,357.8252,1167.7895,2.36296,2.296074,1.931531,1.588824,1.391339,1.265735,1.157724,0.992713,2.36296,1.838853,0.21064,0.155846,0.204532,0.189369,71.3661,526.8903
334,0.1,396.7775,1331.0643,3.267453,3.228791,2.621635,2.044602,1.732995,1.561274,1.425979,1.230399,3.267453,2.318127,0.25488,0.1917,0.225098,0.207577,79.2076,664.2177
2476,0.03,132.8008,314.5843,0.293761,0.223162,0.207556,0.202223,0.196967,0.189565,0.177657,0.14861,0.293761,0.296585,0.037799,0.052793,0.069828,0.04682,26.3614,84.981
2476,0.04,170.7295,420.5636,0.404252,0.311695,0.291701,0.284051,0.276032,0.264222,0.244995,0.201442,0.404252,0.401916,0.050456,0.068958,0.089774,0.064046,33.9119,115.1618
2476,0.05,212.305,546.6803,0.55588,0.429029,0.401266,0.390885,0.380703,0.364987,0.338078,0.275105,0.55588,0.537625,0.05856,0.08378,0.107547,0.081107,42.2003,154.0469
2476,0.09,286.6279,799.5333,0.987476,0.788409,0.703917,0.660149,0.625124,0.590286,0.544966,0.447027,0.987476,0.861515,0.093596,0.112892,0.144134,0.149546,57.0473,246.8516
2476,0.1,294.2639,823.7925,1.049636,0.846576,0.749045,0.698626,0.659041,0.620691,0.5729,0.470054,1.049636,0.90595,0.101017,0.11723,0.147874,0.167086,58.5745,259.5836
2476,0.2,390.472,1396.0009,4.429468,3.884086,3.066995,2.19776,1.740628,1.545819,1.407656,1.228749,4.429468,2.55168,0.277427,0.232684,0.267009,0.302278,77.97,731.138
2476,0.15,381.7003,1329.9362,3.2523,3.233893,2.610054,1.9746,1.642104,1.479377,1.348061,1.159784,3.2523,2.27501,0.255412,0.197054,0.239444,0.253163,76.2566,651.8633
2476,0.12,363.5514,1224.925,2.676378,2.615823,2.12979,1.726633,1.489773,1.348024,1.230656,1.059011,2.676378,1.992947,0.234615,0.136874,0.193012,0.204196,72.5998,571.0432
2476,0.11,312.1056,959.7686,1.577063,1.376739,1.148171,1.021852,0.952177,0.896353,0.834575,0.704616,1.577063,1.273477,0.113929,0.119899,0.152957,0.185583,62.2182,364.892
2476,0.105,296.909,832.4904,1.12348,0.918534,0.797169,0.744097,0.712362,0.681124,0.637211,0.528802,1.12348,0.962721,0.107069,0.118453,0.150582,0.176222,59.1019,275.8505
2476,0.115,340.9451,1104.4039,2.133385,2.005917,1.653506,1.397394,1.252209,1.15587,1.066328,0.911561,2.133385,1.664508,0.163121,0.122333,0.155891,0.195052,68.0201,476.9349
2510,0.05,291.3939,813.0092,1.084641,0.888922,0.78174,0.733804,0.701582,0.669462,0.624994,0.517351,1.084641,0.944008,0.093378,0.118238,0.138163,0.160434,57.9983,270.4884
2510,0.01,82.7977,186.3986,0.167246,0.121006,0.114992,0.115124,0.11485,0.112928,0.10828,0.092613,0.167246,0.175634,0.018635,0.027789,0.037506,0.030149,16.4209,50.3247
2510,0.02,145.6668,351.5601,0.332794,0.256905,0.242741,0.239929,0.23668,0.229481,0.215137,0.178618,0.332794,0.340197,0.041735,0.056534,0.071421,0.060814,28.9239,97.4772
2510,0.03,213.2217,551.7985,0.56553,0.437288,0.411515,0.403416,0.394753,0.379868,0.352453,0.286475,0.56553,0.551647,0.045838,0.071894,0.102602,0.092528,42.3868,158.0644
2510,0.04,265.9607,723.3716,0.835624,0.654831,0.583312,0.55145,0.528309,0.502016,0.46438,0.378484,0.835624,0.746376,0.066042,0.095294,0.117309,0.125631,52.9138,213.8605
2510,0.06,364.6085,1230.7652,2.851453,2.774407,2.241628,1.8232,1.559938,1.414889,1.295871,1.116954,2.851453,2.084461,0.284964,0.178649,0.222497,0.19805,72.8023,597.2647
2510,0.052,298.6349,870.8386,1.232601,1.035355,0.894858,0.832188,0.790002,0.749855,0.699388,0.582976,1.232601,1.051588,0.097175,0.122295,0.140672,0.168065,59.4812,301.3137
2510,0.054,343.5982,1154.6152,2.304565,2.231328,1.861616,1.517553,1.322118,1.201636,1.100549,0.945426,2.304565,1.779176,0.21657,0.143725,0.198203,0.176159,68.6116,509.791
2510,0.053,328.5658,1063.0781,1.972086,1.829941,1.49999,1.271768,1.152128,1.066796,0.98575,0.840453,1.972086,1.542256,0.168081,0.123945,0.156289,0.172058,65.5593,441.9058
3282,0.01,59.2037,129.2315,0.113165,0.078572,0.074592,0.075435,0.075772,0.074753,0.071692,0.061094,0.113165,0.117663,0.01405,0.026258,0.031063,0.007459,11.7344,33.7143
3282,0.05,211.4094,542.3775,0.548477,0.427479,0.405293,0.399503,0.392096,0.377298,0.348851,0.281799,0.548477,0.533932,0.061976,0.096778,0.117724,0.035097,42.0173,152.9887
