RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
139,0.05,54.2537,138.4272,0.041416,0.059265,0.063451,0.064994,0.067147,0.068094,0.066187,0.055814,0.068094,0.058428,0.062115,0.074002,0.035594,0.024612,0.0,16.6083
139,0.1,102.626,263.9572,0.077625,0.113336,0.122606,0.130612,0.136051,0.136584,0.130708,0.108915,0.136584,0.115493,0.124229,0.140508,0.068807,0.04939,0.0,32.829
139,0.15,142.6148,400.3213,0.135504,0.203429,0.222409,0.229403,0.229617,0.223917,0.210118,0.171983,0.229617,0.202188,0.186344,0.196956,0.097341,0.073709,0.0,57.4718
139,0.2,184.7701,508.0353,0.180543,0.263273,0.286326,0.295591,0.296993,0.295572,0.283663,0.229527,0.296993,0.260731,0.248459,0.242376,0.124598,0.097284,0.0,74.1128
139,0.25,219.3046,583.7241,0.257411,0.384944,0.433845,0.465564,0.48022,0.476025,0.449795,0.357832,0.48022,0.408383,0.310573,0.300947,0.158557,0.124429,0.0,116.0828
139,0.26,229.6806,607.3966,0.27372,0.4073,0.459679,0.495153,0.510334,0.504858,0.474102,0.37653,0.510334,0.431837,0.322996,0.313652,0.164594,0.129885,0.0,122.7497
139,0.28,249.413,658.5031,0.313451,0.47453,0.528515,0.558913,0.569193,0.560406,0.525345,0.416639,0.569193,0.490356,0.347842,0.337154,0.176637,0.140521,0.0,139.3837
139,0.3,267.6847,705.6072,0.35549,0.540863,0.605773,0.639763,0.649399,0.63415,0.591474,0.469135,0.649399,0.557352,0.372688,0.354091,0.186946,0.150711,0.0,158.4274
139,0.35,324.2252,861.544,0.545297,0.713631,0.775519,0.825341,0.838813,0.816074,0.750898,0.588989,0.838813,0.710263,0.434803,0.389704,0.209898,0.180081,0.0,201.8923
139,0.4,356.4922,963.0436,0.805472,1.004346,0.928052,0.949917,0.976285,0.952105,0.876095,0.684823,1.004346,0.819076,0.496917,0.445313,0.231052,0.211627,0.0,232.8224
139,0.45,359.7593,978.9636,1.040704,1.229776,1.100869,0.99309,1.023851,1.005338,0.928525,0.725445,1.229776,0.937727,0.559032,0.511906,0.252315,0.241904,0.0,266.549
139,0.47,367.2558,982.0861,1.110984,1.286718,1.138822,1.014028,1.010778,0.997811,0.925953,0.723832,1.286718,0.981344,0.583878,0.528883,0.255702,0.254286,0.0,278.9471
139,0.49,375.0054,979.6325,1.174777,1.331598,1.167829,1.033493,1.005041,0.987813,0.925691,0.74619,1.331598,1.013411,0.608724,0.529978,0.2566,0.266874,0.0,288.062
139,0.5,377.9556,983.6058,1.201343,1.350623,1.179981,1.040171,1.010618,0.995559,0.936118,0.756601,1.350623,1.02649,0.621147,0.529067,0.2565,0.273035,0.0,291.7799
139,0.52,382.8153,995.5132,1.246568,1.393059,1.312294,1.196657,1.105337,1.033735,0.954851,0.793071,1.393059,1.111086,0.645993,0.535557,0.256144,0.285607,0.0,315.8261
139,0.54,386.7724,1004.7229,1.754201,1.904313,1.740891,1.524662,1.363254,1.262621,1.159308,0.972625,1.904313,1.455244,0.670838,0.544127,0.257845,0.297237,0.0,413.653
