RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
2476,0.05,145.1198,405.9827,0.136817,0.203787,0.220534,0.224966,0.222705,0.214812,0.199444,0.162268,0.224966,0.197122,0.05,0.058767,0.093439,0.074573,0.0,56.0319
2476,0.1,258.9717,706.4675,0.364463,0.510237,0.524132,0.516924,0.501166,0.475428,0.434351,0.342817,0.524132,0.455931,0.1,0.11986,0.168612,0.151412,0.0,129.5983
2476,0.085,227.8527,627.426,0.283139,0.403502,0.424073,0.425129,0.415211,0.395438,0.360876,0.285094,0.425129,0.372381,0.085,0.096453,0.150569,0.128149,0.0,105.8492
2476,0.09,238.6816,654.1941,0.308931,0.436367,0.455052,0.454877,0.443548,0.421793,0.385001,0.303848,0.455052,0.399237,0.09,0.105436,0.156971,0.13588,0.0,113.483
2476,0.095,249.0522,680.0107,0.335821,0.471535,0.488132,0.485302,0.472089,0.448532,0.409591,0.323125,0.488132,0.426997,0.095,0.11362,0.162997,0.143654,0.0,121.374
2476,0.12,299.6266,814.0238,0.507217,0.682477,0.685783,0.662955,0.634057,0.600113,0.554331,0.446569,0.685783,0.593895,0.12,0.138085,0.194346,0.182856,0.0,168.8148
2476,0.15,322.3854,918.5794,0.945323,1.194228,1.130342,1.022299,0.92891,0.858151,0.791664,0.656977,1.194228,0.925822,0.15,0.153737,0.228647,0.237176,0.0,263.165
2476,0.17,319.205,926.0188,2.958289,2.607805,2.150262,1.806438,1.565883,1.426349,1.297865,1.097515,2.958289,1.806505,0.17,0.193105,0.237073,0.270731,0.0,513.4989
2476,0.155,321.3391,921.3205,1.136171,1.394519,1.293509,1.143635,1.042913,0.969006,0.895233,0.74909,1.394519,1.077786,0.155,0.165374,0.231906,0.245893,0.0,306.3607
2476,0.157,321.0118,922.6363,1.469877,1.678642,1.531099,1.326873,1.190957,1.099415,1.011471,0.850234,1.678642,1.267016,0.157,0.168814,0.233012,0.249289,0.0,360.1493
2476,0.156,321.1855,922.0153,1.276549,1.518298,1.397693,1.225147,1.109021,1.027444,0.947587,0.794797,1.518298,1.160871,0.156,0.167195,0.232466,0.247597,0.0,329.9775
2476,0.16,320.6033,924.1556,2.052745,2.087736,1.853802,1.573218,1.38471,1.26833,1.159533,0.978572,2.087736,1.534872,0.16,0.172962,0.234371,0.25431,0.0,436.2875
2476,0.162,320.3764,924.8904,2.410429,2.315804,2.012738,1.693337,1.472809,1.342756,1.223883,1.035474,2.410429,1.673819,0.162,0.175291,0.235096,0.257598,0.0,475.7829
2476,0.163,320.255,925.1992,2.531318,2.387513,2.043547,1.718584,1.492488,1.359505,1.238437,1.048464,2.531318,1.710555,0.163,0.176374,0.235398,0.259247,0.0,486.2252
2510,0.05,263.6851,723.4372,0.400464,0.563485,0.580734,0.575638,0.56153,0.538521,0.499301,0.39869,0.580734,0.512408,0.05,0.077264,0.128567,0.146159,0.0,145.652
2510,0.04,223.6099,616.8913,0.278702,0.400016,0.423774,0.428917,0.423959,0.409497,0.380053,0.303546,0.428917,0.379362,0.04,0.0601,0.108783,0.115793,0.0,107.8335
2510,0.045,244.3187,669.4401,0.331654,0.470634,0.492156,0.494599,0.486993,0.46911,0.435235,0.3469,0.494599,0.43881,0.045,0.070729,0.121378,0.130749,0.0,124.7316
2510,0.07,304.9191,877.2481,0.835853,1.115898,1.082253,1.009084,0.947649,0.886323,0.816224,0.670239,1.115898,0.918817,0.07,0.08413,0.140466,0.209243,0.0,261.1737
2510,0.075,306.2459,887.7492,0.949133,1.247072,1.202745,1.110449,1.034761,0.965338,0.887525,0.731517,1.247072,1.014132,0.075,0.088985,0.14251,0.224865,0.0,288.2671
2510,0.08,309.0749,899.3373,1.102792,1.402926,1.350713,1.239534,1.143644,1.06513,0.978228,0.808792,1.402926,1.133155,0.08,0.093637,0.128016,0.24088,0.0,322.0994
2510,0.085,309.4178,908.4693,2.400391,2.26555,1.936425,1.625062,1.412806,1.294499,1.182829,1.003583,2.400391,1.62706,0.085,0.140998,0.175415,0.256961,0.0,462.4918
2510,0.09,316.3268,902.0098,3.6712,2.818898,2.178044,1.869374,1.626301,1.472351,1.342434,1.139174,3.6712,1.931999,0.09,0.182043,0.200753,0.27305,0.0,549.1708
2510,0.086,308.4372,899.3351,2.502846,2.304807,1.940083,1.656057,1.462584,1.341132,1.22328,1.022885,2.502846,1.655108,0.086,0.14878,0.178361,0.260201,0.0,470.4645
3282,0.05,189.547,533.8186,0.211827,0.310716,0.335462,0.341855,0.337557,0.323042,0.295127,0.233627,0.341855,0.297277,0.05,0.060723,0.12716,0.034179,0.0,84.5011
3282,0.06,210.2513,585.6338,0.251931,0.365545,0.392776,0.399759,0.394308,0.378255,0.346625,0.273669,0.399759,0.348727,0.06,0.072681,0.134583,0.040673,0.0,99.1255
3282,0.08,269.1293,753.3448,0.452296,0.645737,0.672904,0.666667,0.643868,0.608048,0.55606,0.441996,0.672904,0.58344,0.08,0.091844,0.16838,0.054413,0.0,165.8427
3282,0.07,252.5516,697.2521,0.366235,0.523232,0.546393,0.544385,0.531008,0.506223,0.465127,0.368759,0.546393,0.479627,0.07,0.081796,0.154064,0.047574,0.0,136.3339
3282,0.09,289.1205,807.9628,0.549839,0.770132,0.785943,0.773593,0.74289,0.69682,0.634067,0.505966,0.785943,0.677836,0.09,0.107499,0.176915,0.062046,0.0,192.6749
3282,0.1,302.4215,855.1936,0.650068,0.893412,0.888207,0.855169,0.809802,0.754512,0.685523,0.549917,0.893412,0.756156,0.1,0.118742,0.184092,0.070062,0.0,214.9373
3282,0.11,299.3827,843.8697,0.638059,0.866932,0.859775,0.823426,0.778746,0.722009,0.653443,0.526269,0.866932,0.730258,0.11,0.145462,0.185132,0.078027,0.0,207.5758
3282,0.12,303.1632,865.4745,0.710081,0.976395,0.97398,0.932536,0.881671,0.817022,0.736826,0.590995,0.976395,0.824213,0.12,0.139912,0.194485,0.085559,0.0,234.2825
3282,0.13,305.9435,884.887,0.795567,1.084232,1.079712,1.023403,0.965855,0.894625,0.805882,0.647349,1.084232,0.908038,0.13,0.146933,0.20031,0.092503,0.0,258.1097
3282,0.15,318.7305,896.5143,0.927398,1.236165,1.22873,1.154888,1.07789,0.996038,0.898146,0.724807,1.236165,1.025902,0.15,0.164674,0.206329,0.105445,0.0,291.6126
3282,0.17,324.4123,904.5951,1.005561,1.317841,1.297641,1.218129,1.129583,1.042709,0.941669,0.763144,1.317841,1.085264,0.17,0.185295,0.222468,0.118049,0.0,308.4863
