PGA (g),With LRB PoE(IO),Without LRB PoE(IO),With LRB PoE(LS),Without LRB PoE(LS),With LRB PoE(CP),Without LRB PoE(CP)
0,6.27E-134,0,6.76E-103,1.43E-126,2.14E-85,6.00E-113
0.002002002002,3.88E-23,5.51E-97,1.23E-21,2.38E-27,5.37E-19,1.99E-25
0.004004004004,1.02E-17,2.54E-73,2.49E-17,5.20E-22,2.09E-15,1.21E-20
0.006006006006,6.60E-15,4.82E-61,4.75E-15,3.58E-19,1.70E-13,4.29E-18
0.008008008008,4.49E-13,4.95E-53,1.54E-13,2.75E-17,3.17E-12,2.15E-16
0.01001001001,9.60E-12,3.23E-47,1.99E-12,6.76E-16,2.74E-11,3.87E-15
0.01201201201,1.02E-10,1.00E-42,1.47E-11,8.28E-15,1.49E-10,3.74E-14
0.01401401401,6.87E-10,4.15E-39,7.49E-11,6.38E-14,5.91E-10,2.39E-13
0.01601601602,3.33E-09,4.13E-36,2.93E-10,3.54E-13,1.88E-09,1.13E-12
0.01801801802,1.27E-08,1.44E-33,9.39E-10,1.54E-12,5.07E-09,4.29E-12
0.02002002002,4.03E-08,2.23E-31,2.59E-09,5.52E-12,1.20E-08,1.38E-11
0.02202202202,1.10E-07,1.83E-29,6.33E-09,1.70E-11,2.59E-08,3.85E-11
0.02402402402,2.70E-07,9.02E-28,1.40E-08,4.67E-11,5.11E-08,9.66E-11
0.02602602603,5.98E-07,2.92E-26,2.87E-08,1.16E-10,9.45E-08,2.21E-10
0.02802802803,1.22E-06,6.67E-25,5.50E-08,2.63E-10,1.65E-07,4.70E-10
0.03003003003,2.34E-06,1.13E-23,9.96E-08,5.58E-10,2.75E-07,9.36E-10
0.03203203203,4.23E-06,1.50E-22,1.72E-07,1.11E-09,4.40E-07,1.76E-09
0.03403403403,7.28E-06,1.59E-21,2.83E-07,2.11E-09,6.78E-07,3.17E-09
0.03603603604,1.20E-05,1.40E-20,4.51E-07,3.80E-09,1.01E-06,5.46E-09
0.03803803804,1.90E-05,1.04E-19,6.96E-07,6.60E-09,1.47E-06,9.06E-09
0.04004004004,2.91E-05,6.71E-19,1.04E-06,1.10E-08,2.09E-06,1.45E-08
0.04204204204,4.34E-05,3.79E-18,1.52E-06,1.79E-08,2.90E-06,2.27E-08
0.04404404404,6.29E-05,1.91E-17,2.17E-06,2.81E-08,3.95E-06,3.45E-08
0.04604604605,8.90E-05,8.66E-17,3.03E-06,4.31E-08,5.29E-06,5.12E-08
0.04804804805,0.0001233328713,3.57E-16,4.16E-06,6.46E-08,6.96E-06,7.43E-08
0.05005005005,0.0001676237585,1.36E-15,5.61E-06,9.47E-08,9.03E-06,1.06E-07
0.05205205205,0.000223838869,4.76E-15,7.45E-06,1.36E-07,1.16E-05,1.48E-07
0.05405405405,0.0002941378052,1.56E-14,9.75E-06,1.92E-07,1.46E-05,2.04E-07
0.05605605606,0.0003808673553,4.77E-14,1.26E-05,2.67E-07,1.83E-05,2.77E-07
