RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kNm),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
139,0.05,174.328,286.0015,0.092595,0.09867,0.09961,0.10182,0.111135,0.100959,0.083796,0.059638,0.111135,0.170388,0.049476,0.087366,0.015208,0.017076,22.8965,48.4383
139,0.1,438.9167,859.2916,0.340499,0.367461,0.375276,0.372405,0.358415,0.331116,0.268433,0.175757,0.375276,0.519661,0.090967,0.065467,0.038454,0.034041,57.73,147.7302
139,0.15,700.8169,1650.0033,0.795522,0.879654,0.907043,0.892277,0.835885,0.735209,0.58183,0.362801,0.907043,1.052023,0.125572,0.095568,0.07189,0.049104,92.3627,299.0711
139,0.12,558.1121,1209.1005,0.530887,0.579472,0.591507,0.579805,0.545814,0.486744,0.394094,0.253633,0.591507,0.752342,0.10616,0.078653,0.052165,0.04049,73.505,213.8773
139,0.2,834.9493,2281.1114,1.216299,1.348882,1.383703,1.345269,1.237688,1.065049,0.823169,0.500115,1.383703,1.472809,0.183924,0.118669,0.089597,0.06162,110.1795,418.6931
139,0.25,896.8368,2577.2581,1.432596,1.587829,1.62892,1.578121,1.441242,1.224545,0.932852,0.55875,1.62892,1.658948,0.222823,0.137676,0.100912,0.072034,118.4744,471.6092
139,0.35,1001.6315,3050.8123,1.850434,2.095919,2.17643,2.118538,1.922891,1.606886,1.190717,0.686897,2.17643,2.049614,0.317074,0.206759,0.11281,0.091056,132.3673,582.6682
139,0.4,1031.6248,3210.3745,2.006907,2.261567,2.34023,2.275612,2.064139,1.722618,1.27256,0.730145,2.34023,2.173566,0.323633,0.220906,0.115126,0.102312,135.9247,617.9056
139,0.41,1036.0981,3242.2872,2.008605,2.257968,2.328438,2.257633,2.043233,1.700319,1.251603,0.715496,2.328438,2.160949,0.329552,0.224681,0.11536,0.103271,136.922,614.3189
410,0.05,68.189,107.9962,0.033269,0.035335,0.036044,0.03618,0.036331,0.037274,0.034322,0.024373,0.037274,0.064042,0.041416,0.024655,0.008245,0.005098,8.9412,18.2059
410,0.15,206.5594,347.3266,0.117665,0.12631,0.128173,0.127756,0.126433,0.116788,0.103848,0.072998,0.128173,0.208568,0.125113,0.073571,0.023591,0.015613,27.114,59.2922
410,0.25,436.5454,869.1116,0.350862,0.380616,0.388723,0.38383,0.366083,0.332142,0.27336,0.178375,0.388723,0.532986,0.19707,0.117409,0.03876,0.027216,57.4287,151.5182
410,0.35,650.4986,1511.1427,0.710744,0.781469,0.800806,0.783288,0.730129,0.642545,0.512397,0.32256,0.800806,0.949738,0.264183,0.159774,0.065961,0.037807,85.6997,269.9934
410,0.45,764.2467,1991.1108,1.00205,1.098443,1.118633,1.083588,0.9972,0.860524,0.671209,0.414017,1.118633,1.243551,0.327953,0.200254,0.086673,0.045975,100.9013,353.5193
