RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
334,0.01,222.6126,388.2103,0.134358,0.141567,0.14301,0.141418,0.136568,0.126944,0.108711,0.074838,0.14301,0.228271,0.012115,0.014258,0.017751,0.01673,29.2372,64.8934
334,0.02,711.8383,1786.3471,0.876258,0.959631,0.977656,0.948829,0.876013,0.758817,0.591209,0.364021,0.977656,1.114833,0.053526,0.071466,0.081436,0.033168,93.9005,316.9269
334,0.03,805.073,2142.1365,1.108744,1.218151,1.239094,1.19652,1.096348,0.941615,0.726778,0.441613,1.239094,1.344407,0.071723,0.080423,0.090262,0.044968,106.3022,382.1907
334,0.04,798.6693,2140.3138,1.109225,1.220295,1.243033,1.200708,1.098963,0.941663,0.725474,0.439719,1.243033,1.345682,0.091819,0.092926,0.095141,0.052854,105.4869,382.5533
334,0.05,859.4533,2374.7656,1.259471,1.381969,1.400762,1.345139,1.223601,1.042451,0.798085,0.480443,1.400762,1.468642,0.122697,0.098216,0.099512,0.061563,113.551,417.5085
334,0.06,882.6944,2342.0838,1.250511,1.376813,1.400731,1.361367,1.254633,1.079497,0.834985,0.503897,1.400731,1.481001,0.123649,0.107437,0.10419,0.073172,116.5209,421.0219
334,0.07,880.2165,2386.084,1.288912,1.424885,1.455418,1.406698,1.283894,1.09329,0.834803,0.502927,1.455418,1.512422,0.123357,0.114947,0.10723,0.084345,116.2136,429.9544
334,0.08,887.4179,2462.721,1.330167,1.465089,1.488862,1.431438,1.300483,1.103627,0.84007,0.504158,1.488862,1.555767,0.151414,0.136949,0.114221,0.095302,117.1094,442.2765
334,0.09,910.7344,2574.1368,1.427577,1.583355,1.618674,1.562648,1.421367,1.20904,0.911678,0.542577,1.618674,1.635158,0.156358,0.13307,0.117257,0.106132,120.3384,464.8461
334,0.15,1053.2888,2981.6681,1.788167,2.045843,2.153401,2.130442,1.970191,1.67977,1.265646,0.73466,2.153401,2.010778,0.205684,0.171247,0.125984,0.169006,139.0893,571.628
334,0.2,1000.3618,3409.3004,2.264006,2.559181,2.629512,2.525624,2.253057,1.831773,1.315631,0.745734,2.629512,2.328808,0.260264,0.210586,0.140648,0.2214,132.2378,662.0382
2476,0.02,472.012,948.3381,0.390896,0.425785,0.435529,0.429434,0.408101,0.368733,0.302389,0.196605,0.435529,0.584317,0.032287,0.03521,0.044629,0.026092,62.0781,166.1108
2476,0.03,711.8614,1772.5332,0.863837,0.945155,0.962219,0.93328,0.861176,0.745695,0.580952,0.357924,0.962219,1.100938,0.05686,0.071705,0.082403,0.037902,93.9002,312.9768
2476,0.08,861.44,2417.5852,1.319835,1.464469,1.499955,1.452965,1.329396,1.135001,0.869232,0.523143,1.499955,1.56007,0.082243,0.089859,0.102363,0.067472,113.7905,443.4999
2476,0.1,905.0265,2628.0164,1.463954,1.613141,1.641897,1.586828,1.446023,1.226507,0.93151,0.555688,1.641897,1.67258,0.116277,0.108918,0.110937,0.08391,119.5367,475.4843
2476,0.12,894.5983,2701.5919,1.514107,1.665976,1.686009,1.608074,1.444823,1.214772,0.940391,0.570378,1.686009,1.708538,0.119428,0.109279,0.116396,0.10097,118.1643,485.7065
2476,0.15,966.2569,3077.736,1.871652,2.090237,2.128914,2.033717,1.83553,1.571395,1.194174,0.702519,2.128914,2.024907,0.161002,0.120247,0.116012,0.12904,127.7854,575.6446
2476,0.2,983.0787,3725.1523,2.426396,2.694231,2.717798,2.55584,2.218435,1.741352,1.213061,0.692082,2.717798,2.379845,0.185679,0.129953,0.131234,0.172595,129.9133,676.5472
2510,0.005,166.6376,272.291,0.088294,0.094614,0.096106,0.095992,0.093683,0.08826,0.076929,0.053861,0.096106,0.162518,0.007192,0.010643,0.012866,0.013333,21.8608,46.2011
2510,0.01,660.3096,1558.1473,0.733163,0.80292,0.818856,0.796844,0.739019,0.64445,0.507604,0.317405,0.818856,0.966281,0.046105,0.059527,0.07054,0.028751,87.0411,274.6964
2510,0.03,767.4514,1892.9415,0.935378,1.028834,1.0533,1.029912,0.957334,0.834136,0.652541,0.401292,1.0533,1.17821,0.092812,0.085687,0.088359,0.051844,101.2091,334.944
2510,0.045,809.0558,2180.1233,1.126392,1.234314,1.250486,1.200116,1.091283,0.929517,0.711658,0.430192,1.250486,1.352122,0.091345,0.09992,0.103023,0.069637,106.8661,384.3841
2510,0.06,895.2591,2740.8348,1.540248,1.694519,1.712336,1.630041,1.460443,1.217138,0.909394,0.535822,1.712336,1.714195,0.11796,0.101337,
2510,0.09,950.5691,3243.5022,1.960571,2.161352,2.170762,2.036858,1.778764,1.430218,1.027328,0.586385,2.170762,2.014942,0.125195,0.135327,0.133399,0.142043,126.0175,572.8118
2510,0.1,954.9663,3132.5857,1.870188,2.060227,2.066553,1.932787,1.686135,1.377528,1.064773,0.640151,2.066553,1.957992,0.140278,0.137332,0.137073,0.160034,126.2213,556.6218
2510,0.12,963.7461,3177.9339,1.89913,2.090117,2.096495,1.99203,1.773947,1.482912,1.134199,0.673855,2.096495,1.998082,0.151932,0.166269,0.14671,0.195685,127.6147,568.0186
2510,0.14,941.2249,3495.3117,2.188575,2.406728,2.402756,2.263114,2.013022,1.667998,1.227186,0.706002,2.406728,2.193723,0.199396,0.175028,0.149688,0.230922,124.6865,623.6361
