RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
334,0.01,263.4721,1228.4164,0.061868,0.127487,0.15658,0.16893,0.169232,0.158339,0.133163,0.086613,0.169232,0.13201,0.01,0.016868,0.028843,0.013271,0.0,37.2268
334,0.02,384.0487,1934.0374,0.100958,0.213218,0.265197,0.287099,0.286935,0.266119,0.219599,0.138835,0.287099,0.220979,0.02,0.023579,0.040824,0.026852,0.0,62.3162
334,0.03,450.2614,2363.6742,0.126665,0.269511,0.337581,0.368111,0.370389,0.345011,0.285176,0.179667,0.370389,0.283179,0.03,0.02842,0.044838,0.040592,0.0,79.8565
334,0.04,539.4309,2959.8927,0.167686,0.358831,0.454133,0.498611,0.501076,0.463092,0.379026,0.237034,0.501076,0.380024,0.04,0.035322,0.048082,0.054015,0.0,107.1667
334,0.05,608.3939,3427.2838,0.203926,0.436528,0.554956,0.609788,0.613553,0.566365,0.461093,0.285893,0.613553,0.462157,0.05,0.042526,0.053089,0.067736,0.0,130.3281
334,0.06,710.9367,4184.0859,0.275795,0.584503,0.741756,0.81323,0.811192,0.739438,0.593497,0.362584,0.81323,0.6119,0.06,0.047174,0.058191,0.082074,0.0,172.5557
334,0.07,797.4792,4900.4703,0.363795,0.761315,0.963289,1.054831,1.051519,0.957733,0.767674,0.468291,1.054831,0.794329,0.07,0.056591,0.064914,0.096675,0.0,224.0007
334,0.074,840.5579,5220.0035,0.410676,0.851554,1.073637,1.173344,1.167449,1.061252,0.84992,0.518335,1.173344,0.883492,0.074,0.060441,0.071654,0.102632,0.0,249.1449
334,0.076,868.677,5449.2277,0.446726,0.915955,1.14663,1.246496,1.234309,1.117839,0.893894,0.544433,1.246496,0.938014,0.076,0.062384,0.077509,0.105619,0.0,264.52
334,0.077,903.1621,5784.6769,0.505868,1.032868,1.289447,1.397085,1.378237,1.242173,0.98662,0.596784,1.397085,1.048647,0.077,0.063348,0.085724,0.107109,0.0,295.7185
334,0.078,932.3232,6119.7713,0.570774,1.164161,1.451699,1.569398,1.544806,1.388431,1.097871,0.658867,1.569398,1.175329,0.078,0.064315,0.0948,0.108594,0.0,331.4429
334,0.08,955.7516,6440.1739,0.638757,1.305482,1.626987,1.755721,1.724648,1.545592,1.21499,0.721981,1.755721,1.310878,0.08,0.066249,0.106907,0.111538,0.0,369.6675
334,0.09,982.4154,7159.6016,0.839638,1.753902,2.20607,2.375265,2.315425,2.040074,1.554343,0.888139,2.375265,1.738534,0.09,0.081993,0.117826,0.125605,0.0,490.2666
334,0.092,983.4384,7155.8338,0.845769,1.776596,2.246166,2.425499,2.368016,2.090843,1.597405,0.913645,2.425499,1.772727,0.092,0.080965,0.123776,0.128287,0.0,499.909
334,0.094,994.8231,7224.4745,0.869863,1.851569,2.364786,2.568751,2.52183,2.236248,1.698914,0.958365,2.568751,1.875078,0.094,0.08029,0.129114,0.130894,0.0,528.772
334,0.1,997.2354,7858.0464,1.134467,2.437159,3.103077,3.353819,3.311569,2.978652,2.268514,1.248467,3.353819,2.46675,0.1,0.086563,0.134558,0.137849,0.0,695.6235
334,0.15,1061.4026,7442.8474,0.963069,2.09769,2.714376,2.964004,2.93685,2.635566,2.009472,1.123624,2.964004,2.168817,0.15,0.132862,0.134925,0.178765,0.0,611.6064
334,0.2,1018.945,8178.6352,1.397339,2.761407,3.412321,3.6383,3.56709,3.198149,2.411312,1.323222,3.6383,2.675355,0.2,0.160463,0.16278,0.231766,0.0,754.4502
334,0.25,970.8279,7868.0189,1.251498,2.768942,3.637469,3.996846,4.01029,3.691229,2.899344,1.657154,4.01029,2.968334,0.25,0.212802,0.175486,0.281652,0.0,837.0702
334,0.3,1107.3649,7834.9844,1.205869,2.740563,3.626091,4.001614,4.026847,3.720232,2.939796,1.691326,4.026847,2.975093,0.3,0.233587,0.178934,0.33369,0.0,838.9763
334,0.35,1194.858,7901.5388,1.315805,2.797279,3.689897,4.067461,4.092491,3.777427,2.970523,1.692171,4.092491,3.020058,0.35,0.278992,0.205061,0.387286,0.0,851.6563
334,0.4,1211.4282,8008.0013,1.497246,3.111309,4.025701,4.434346,4.468363,4.136315,3.266566,1.908444,4.468363,3.306441,0.4,0.317341,0.219963,0.440465,0.0,932.4164
2476,0.01,185.0624,805.9812,0.039898,0.079565,0.095358,0.101507,0.101506,0.095895,0.08228,0.054954,0.101507,0.080912,0.01,0.013326,0.021226,0.010464,0.0,22.8171
2476,0.02,310.9991,1484.1928,0.076026,0.157883,0.194468,0.209415,0.208882,0.194106,0.161547,0.104069,0.209415,0.162374,0.02,0.021471,0.035937,0.021015,0.0,45.7895
2476,0.03,418.6151,2138.3264,0.113054,0.239041,0.297221,0.321501,0.32086,0.296984,0.244412,0.153967,0.321501,0.246973,0.03,0.02887,0.046085,0.031511,0.0,69.6465
2476,0.04,478.6967,2530.9417,0.137097,0.291468,0.364776,0.396603,0.396253,0.365918,0.300434,0.188406,0.396603,0.30332,0.04,0.039016,0.054515,0.042691,0.0,85.5361
2476,0.05,526.7077,2858.1916,0.159415,0.339992,0.427947,0.467576,0.468287,0.43197,0.353256,0.220804,0.468287,0.356472,0.05,0.049143,0.060209,0.053833,0.0,100.5251
2476,0.06,575.1119,3171.3102,0.18241,0.389005,0.491452,0.53835,0.539197,0.496294,0.404288,0.251423,0.539197,0.409098,0.06,0.059358,0.064861,0.065096,0.0,115.3656
2476,0.07,667.5193,3736.8191,0.230808,0.489687,0.618401,0.674588,0.671313,0.61233,0.492633,0.302757,0.674588,0.50877,0.07,0.069509,0.069945,0.076826,0.0,143.4732
2476,0.08,780.1416,4555.9176,0.316694,0.659578,0.82712,0.898723,0.890295,0.807424,0.64594,0.393802,0.898723,0.676302,0.08,0.079501,0.078681,0.088824,0.0,190.7171
2476,0.09,849.438,5142.2716,0.397768,0.819159,1.026091,1.11575,1.106335,1.003848,0.803201,0.489661,1.11575,0.841046,0.09,0.089168,0.082761,0.100121,0.0,237.175
2476,0.095,900.731,5765.2619,0.502276,1.027178,1.284151,1.393034,1.375732,1.24082,0.986036,0.596363,1.393034,1.045665,0.095,0.094022,0.083755,0.105404,0.0,294.8775
2476,0.096,911.9637,5889.332,0.525597,1.074134,1.342132,1.454565,1.435196,1.292974,1.025813,0.618863,1.454565,1.090943,0.096,0.094986,0.084653,0.106429,0.0,307.646
2476,0.097,922.3599,6008.9209,0.548751,1.120959,1.400041,1.516069,1.494676,1.345261,1.065653,0.641024,1.516069,1.136182,0.097,0.09595,0.087568,0.107447,0.0,320.4033
2476,0.1,946.6701,6327.7942,0.613766,1.255499,1.56758,1.69497,1.668301,1.498195,1.181203,0.70412,1.69497,1.267097,0.1,0.098821,0.095992,0.110454,0.0,357.3214
2476,0.11,966.5942,6859.7582,0.747001,1.542455,1.936034,2.092158,2.050035,1.819921,1.401469,0.811641,2.092158,1.543292,0.11,0.108226,0.11803,0.119819,0.0,435.2083
2476,0.12,968.0704,6957.9242,0.775965,1.606647,2.015729,2.17466,2.128527,1.892108,1.45741,0.840269,2.17466,1.60234,0.12,0.117468,0.127785,0.12674,0.0,451.86
